id,pv1,pv2,pv3,pv4,pv5,pv6,pv7,load1,load2,load3,load4,load5,load6,load7,wind1,wind2,wind3,wind4,wind5,wind6,wind7,w
74,0.6706908793103451,0.7211576206896554,0.6913391724137931,0.7036093103448278,0.7151846034482757,0.6708444827586209,0.5801208793103448,6431.485693,1064.2351232189653,12463.963951379312,1233.770684137931,1702.0835213793107,17240.325355172412,18661.446798275865,0.059546810344827596,0.079266672,0.2134703793103448,0.10712975344827587,0.205640052,0.18134087931034484,0.2766805689655172,58
75,0.008102832,0.008797389,0.008899968,0.008647979,0.009241789,0.008357063,0.009127974,5396.645108178947,928.1535740905264,13165.273499684215,986.5358854421054,1383.1635381052633,16605.737242842104,18615.073861684214,0.14830722105263158,0.29760158947368415,0.6110374631578949,0.22148604210526307,0.37817841052631573,0.26829821052631575,0.33451677894736837,95
76,0.13523245714285714,0.16151215714285713,0.15489367142857147,0.16498645714285717,0.1716467285714285,0.1516842714285714,0.1261740142857143,6369.789730442857,1035.2163469757145,12623.453892999996,1129.8442226285713,1649.4227794285719,17459.631850142865,18605.073489714283,0.11148894285714284,0.0961731,0.2926563,0.064217143,0.10281941428571428,0.21406724285714285,0.3739289,70
77,0.17452044230769226,0.12841559615384615,0.12933590384615387,0.121304,0.11599909615384615,0.15890382692307697,0.15914115384615385,6256.824695,985.6829223615383,12316.256178846155,1102.6622390576922,1606.7457771153847,16854.65145615385,18546.982971346155,0.2805787307692307,0.16680621153846154,0.18009423076923076,0.22873623076923075,0.42632571153846155,0.28748886538461543,0.4824976153846154,52
78,0.4203916101694915,0.3339722033898304,0.3460146949152543,0.3615273728813559,0.3774907457627118,0.40932442372881345,0.36703125423728805,6147.889770525425,1029.3715644508477,12402.530108305087,1166.2098445762715,1655.3120033898306,16948.67857423729,18452.886334237286,0.11906847457627116,0.4574239322033897,0.47115732203389826,0.4163108813559323,0.5377070847457627,0.25226452542372885,0.23310245762711856,59
79,0.5103899824561403,0.2786874561403509,0.35836659649122815,0.22951842105263157,0.2702809298245614,0.4352994736842105,0.4455075964912279,6382.289775666667,1046.094355014035,12407.360831052634,1217.6047078245615,1727.4205089473687,17146.10826368421,18320.582386842107,0.3364741228070176,0.13198214035087721,0.19324119298245612,0.097420404,0.1156369122807017,0.19968284210526316,0.35691312280701765,57
80,0.019294224,0.012910983999999999,0.013511207999999999,0.012627495999999997,0.012956056000000002,0.015039112000000007,0.017986495415999997,5873.348827,968.4777392503998,13029.035554800008,1057.8038871039998,1512.8527714400004,16910.398244639997,18315.600408239996,0.41639556800000016,0.093258392,0.20080994400000002,0.069847824,0.110945352,0.31899187999999984,0.5035129440000001,125
81,0.5100473714285717,0.27238674285714287,0.39744528571428583,0.296899343,0.43033302857142863,0.4766263428571429,0.46559488571428576,6431.959716857144,1052.5625610371426,11984.769084857142,1217.0105854285716,1721.5714040000003,16965.344073999997,18219.214474000004,0.2601454,0.14242608571428578,0.10126519999999997,0.39330954285714287,0.7407819714285714,0.2345012,0.2349113142857143,35
82,0.3181027608695652,0.2702783260869566,0.20845519565217394,0.3012801956521739,0.37828430434782606,0.285558804,0.16694082608695648,6256.108719521738,986.4973304,12024.024328695654,1144.9395566956523,1654.465677173913,15984.15964608696,18113.002829347828,0.3323381304347826,0.4646750434782609,0.6886647826086957,0.26782241304347826,0.308035,0.5320138695652176,0.5165416739130436,46
83,0.5390826511627906,0.3986220232558139,0.36898941860465106,0.3801066744186046,0.40263941860465124,0.4372425348837209,0.47912618604651175,6071.949468651163,956.9105025720933,12028.760515348837,1107.8670600232556,1616.3264472093022,16408.83494162791,18095.55439813954,0.3976391395348838,0.2501969302325581,0.4127620465116279,0.33229441860465114,0.5382692325581395,0.4573026976744186,0.5618816976744185,43
84,0.25750237894736844,0.13266481052631585,0.13680773684210523,0.1326074631578947,0.1485774210526316,0.20460602105263156,0.23376224210526314,6106.689031600003,966.5448801063158,12118.43217557895,1139.6571839578953,1585.7192846315786,16550.547885263153,18017.648599157896,0.0975528,0.081607726,0.12380615789473683,0.074708572,0.12989665263157896,0.1327619789473684,0.18879827368421045,95
85,0.5091204146341463,0.33043146341463414,0.2512111219512195,0.49014526829268296,0.5587058048780488,0.34677512195121946,0.37372607317073175,6215.051558414636,1013.8494232951223,12092.598180487803,1120.2317930243903,1690.8243129268292,16557.516336829263,18011.26083097561,0.34913887804878047,0.7321416829268294,0.6688503902439024,0.5879159512195121,0.7155311219512197,0.5356526097560974,0.48979453658536576,41
86,0.017434736,0.019737222,0.013961486,0.021257597,0.022589236111111112,0.019010361,0.017162361,5592.989154458333,932.6994654277778,12921.256700694446,1005.5777569722219,1447.6982526388888,16303.042422638897,17960.25742638889,0.091700306,0.5330964166666666,0.8350252916666665,0.264242528,0.23827301388888886,0.42220608333333326,0.37687879166666655,72
87,0.3254218823529413,0.5209427647058826,0.46528126470588227,0.5460602352941177,0.5589286960784312,0.3715546372549018,0.28592442156862746,6402.390038598036,1023.1420353784314,12175.388959411768,1217.6449158235296,1735.3678099999995,17105.237220588235,17937.339212058825,0.078780824,0.06796898,0.2107829215686275,0.04375928,0.085517216,0.1951756078431373,0.27358390196078436,102
88,0.00781902,0.00416725,0.003713149,0.00394355,0.00383882,0.005792376,0.00841708,5476.441518519999,899.3955365,12562.193906200002,979.7692645300001,1421.4551904000004,15699.293376500009,17877.6901,0.2634694399999999,0.20533299,0.3873774299999999,0.21045571999999996,0.38741086,0.40949702,0.6178682500000001,100
89,0.5531965064935065,0.534916974,0.5252591428571429,0.4315382727272727,0.3654894155844155,0.5192484675324673,0.4871421428571427,6286.142329272726,1040.8913082831168,11995.096134155847,1242.1773555844156,1769.4380646753243,17026.60661636364,17875.67070480519,0.047035312,0.048022598181818185,0.17579066233766233,0.053668961038961016,0.11091293506493509,0.11019168831168828,0.18111823376623382,77
90,0.3078997358490566,0.1811923773584905,0.1926072264150943,0.18712086792452828,0.21013054716981133,0.2705342264150944,0.28078077358490566,6228.355809698116,974.6585094584909,11927.083634905659,1139.5516416792452,1630.8579607547172,16279.865704716984,17828.383733962262,0.25290077358490565,0.20422907547169813,0.2413553396226415,0.4061445849056605,0.7297226603773583,0.3164295283018868,0.32659186792452827,53
