id,f_node,t_node,f_area,t_area,length,x
1,1,3,1,1,1167.1839318317384,0.23854321606811155
2,1,6,1,1,296.1743065937534,0.06053062391009835
3,1,7,1,1,544.4033171311286,0.11126242793867441
4,3,6,1,1,925.9629565801181,0.18924367925106164
5,3,7,1,1,971.0475867678716,0.19845785054568377
6,6,7,1,1,605.2832786524723,0.12370477007459903
7,2,4,2,2,184.04253086751254,0.03761369224604788
8,2,5,2,2,495.57908492099165,0.10128397548072768
9,4,5,2,2,322.0535635210788,0.06581969704462048
