id,pv1,pv2,pv3,pv4,pv5,pv6,pv7,offshore1,offshore2,offshore3,offshore4,offshore5,offshore6,offshore7,ror1,ror2,ror3,ror4,ror5,ror6,ror7,reservoir1,reservoir2,reservoir3,reservoir4,reservoir5,reservoir6,reservoir7,load1,load2,load3,load4,load5,load6,load7,wind1,wind2,wind3,wind4,wind5,wind6,wind7,w
1,0.058257273291367,0.058003392985611524,0.04291954910071943,0.06165349916366905,0.06644146285971227,0.05651488458633095,0.06616390224820153,0.36941438992805725,0.1694193164568344,0.2612452602517987,0.14615168714028787,0.14858375737410082,0.266542696942446,0.4135627455035968,0.0,0.0,0.6332697859712239,0.21765507861061076,0.5228334894271579,0.0,0.6332697859712239,0.0,0.0,0.0,0.0,0.0,0.6415458651079138,0.6646557706834527,7155.247035744602,1305.615823432735,15956.199614973015,1363.715228768886,1896.2744710881311,22494.2637358633,24856.30434398383,0.12646882553956845,0.10232630602517977,0.3184891753597124,0.09004393974820156,0.14510558390287798,0.19711522931654665,0.3251386888489207,1112
2,0.05522649476767674,0.037921364747474776,0.031598394242424235,0.04193688514141415,0.046081507070707066,0.040316305858585866,0.05113495363636362,0.5101714515151518,0.6403244444444447,0.44868254949494957,0.6832026626262626,0.6609165919191928,0.48608128484848523,0.44930663232323187,0.0,0.0,0.6088288545454549,0.213409289270707,0.4911870077818182,0.0,0.6088288545454549,0.0,0.0,0.0,0.0,0.0,0.614526553535353,0.6423365050505054,7021.688500988889,1272.383127736769,15815.06091712122,1318.7518747646454,1853.1346250404044,22056.8777770101,24637.382283494942,0.20340419101010085,0.24606911717171687,0.41508810303030313,0.273426704040404,0.48874544545454474,0.29676352020202024,0.3851684181818175,990
3,0.07086634637462234,0.044211342750755306,0.03922268806646524,0.053551584592145034,0.06403065392749244,0.05311532493957702,0.054651983703927515,0.7821516344410879,0.9073346027190335,0.7244659380664649,0.9198943821752253,0.9053104063444098,0.781233197885196,0.5997980135951664,0.0,0.0,0.5936402643504533,0.20790945861480312,0.4349522067734143,0.0,0.5936402643504533,0.0,0.0,0.0,0.0,0.0,0.5745319456193352,0.6185950936555893,6794.50974273716,1179.4804158308157,14578.263890332335,1249.0113546253783,1780.4906712688828,20108.576166495463,22221.243773625385,0.37795664199395784,0.5401188867069476,0.622304740181269,0.5902737084592147,0.7597539456193355,0.5621027749244719,0.5885736646525683,662
4,0.035626983563096494,0.03221118971367976,0.03159707741251325,0.02987658557794272,0.029911827571580066,0.03208963902439027,0.034306560951219534,0.6982994740190881,0.24952044064687146,0.3302342651113472,0.22190394506892883,0.23280666065747627,0.37804728525980913,0.5677045811240722,0.0,0.0,0.5110347953340398,0.2792237212969247,0.49029750899575797,0.0,0.5110347953340398,0.0,0.0,0.0,0.0,0.0,0.5058251081654298,0.5080703117709434,5936.036099430543,1018.3299919705194,13762.667870621422,1070.6685901304352,1516.9643220254507,17938.58318958643,19753.128872216344,0.29058225768822893,0.1489219225874867,0.3554958759278891,0.12955993531283147,0.21695790031813353,0.2976593244962883,0.47911112195122035,943
5,0.5080583852140081,0.5353732354085599,0.5154012918287935,0.5167105233463034,0.5042021284046692,0.5197126536964976,0.4571623229571987,0.38789626653696485,0.1600149171206228,0.25457684046692597,0.13419608015564205,0.1362845116731518,0.2538891906614787,0.4115628210116732,0.0,0.0,0.5812875175097283,0.3620370827276267,0.5120302333968876,0.0,0.5812875175097283,0.0,0.0,0.0,0.0,0.0,0.5200285175097277,0.4965227023346305,6442.121863484435,1084.574361726848,12816.591673404673,1240.7234108171206,1740.0181704280164,17841.53345021401,19121.187889513618,0.1313619708171205,0.09938062073929961,0.22687898054474726,0.07713116673151746,0.11928531906614802,0.16403121011673175,0.29583742217898834,514
6,0.42582119797687873,0.3933507731213869,0.3842051994219654,0.3844454797687861,0.4012696632947979,0.4051913641618492,0.38091301589595306,0.5063546777456647,0.7291161286127178,0.45162535404624293,0.7673006705202309,0.7601310043352613,0.535780744219653,0.41162474566474033,0.0,0.0,0.5708578569364161,0.22833818207803433,0.44363913040606917,0.0,0.5708578569364161,0.0,0.0,0.0,0.0,0.0,0.49730506358381504,0.4801382427745663,6333.152506583817,1041.9645663654628,12471.20874044942,1188.7182469971106,1697.7715838872828,17343.0209048844,18921.771488410406,0.22256072514450845,0.29437726445086715,0.3422884624277455,0.33214973410404625,0.5118861445086705,0.3196740621387283,0.35475529624277485,692
7,0.31417673943661933,0.31111568873239404,0.30808586901408447,0.30674861549295773,0.32362640563380285,0.3079551915492958,0.2812099788732396,0.33323946901408447,0.21518484747887318,0.1879615042253521,0.2248258361971828,0.21743269309859156,0.23744378873239452,0.33333819154929617,0.0,0.0,0.5505335746478872,0.1536857143788729,0.38837252162394376,0.0,0.5505335746478872,0.0,0.0,0.0,0.0,0.0,0.5117917816901408,0.4908708985915494,6145.227524101409,1000.6857950611268,11958.829409999998,1155.3004190661977,1659.0773993802816,16543.107781070426,17573.59826892958,0.11510257746478879,0.09500872225352122,0.14838416197183105,0.09535179760563382,0.15556866436619718,0.14561632676056324,0.24074953943661967,710
8,0.011902219128329295,0.012965195641646486,0.011859471150121073,0.012127046828087164,0.013015054479418888,0.012859579903147695,0.010700182615012105,0.7453661719128332,0.8192451864406786,0.6469962687651332,0.8434821949152541,0.8325219806295397,0.6998278753026635,0.5805839491525435,0.0,0.0,0.4019566319612592,0.18786782268280802,0.4181395453571435,0.0,0.4019566319612592,0.0,0.0,0.0,0.0,0.0,0.42678479055690044,0.445562794188862,5271.622030548426,859.1496978822031,12415.391705782076,921.094088300242,1323.827850581114,15390.958788874084,17510.545775121063,0.3283555484261504,0.40522379418886206,0.5642420544794192,0.42506903753026604,0.5991922687651325,0.48410743341404416,0.5184285242130761,826
9,0.016417204,0.016480591578947386,0.018864619484210525,0.016551111789473685,0.016871594526315786,0.017355782315789478,0.017907509505263156,0.3738413052631583,0.6397473378947366,0.3974049768421055,0.7101990536842101,0.6966959484210518,0.4436153399999997,0.31797754631578945,0.0,0.0,0.4420872368421055,0.23428939473578955,0.4554715818389473,0.0,0.4420872368421055,0.0,0.0,0.0,0.0,0.0,0.44466041368421066,0.45634945157894735,5225.46605649158,860.4863680921055,12256.009949919993,933.7580446010527,1328.8123156905262,15514.258571895789,17267.820593894736,0.13912809999999992,0.24312128210526304,0.33901802842105255,0.3037239915789471,0.5035336642105265,0.24484907473684228,0.23756074210526307,951
10,0.00849376169117647,0.010906717867647062,0.013009069867647046,0.010422474566176475,0.010150535294117646,0.01033681595588236,0.010952470235294113,0.30792359264705865,0.17072478148529416,0.19929697461838247,0.18653145154411788,0.19110684250000007,0.24585747647058792,0.3370443411764703,0.0,0.0,0.4144619544117646,0.20429205353676544,0.4357853265404409,0.0,0.4144619544117646,0.0,0.0,0.0,0.0,0.0,0.4512928669117647,0.45314539191176484,5070.3745828154415,829.232003650662,11876.286204819122,908.1829111691175,1298.4920685838233,14770.405152451473,16245.780283419113,0.09694835588235307,0.09408810095588233,0.23150612720588287,0.09160588286764697,0.17226874264705877,0.16277782500000015,0.222321763970588,1359
