id,name,v_nom,longitude,latitude,area
1,Denmark,380,10.18052624,55.66005809,1
2,Estonia,380,25.93424963,58.74719612,2
3,Finland,380,26.39444739,62.05382408,1
4,Latvia,380,25.95616558,57.09210278,2
5,Lithuania,380,23.936462,54.427719,2
6,Sweden,380,14.845276,56.173846,1
7,Norway,380,8.4689,60.472,1
