id,name,f_node,f_node_name,t_node,t_node_name,f_area,f_area_name,t_area,t_area_name,existing_capacity,efficiency
1,link_FI_SE,3,Finland,6,Sweden,1,Nordic,1,Nordic,2100,1
2,link_EE_FI,2,Estonia,3,Finland,1,Nordic,2,Baltic,1017,1
3,link_LT_SE,5,Lithuania,6,Sweden,1,Nordic,2,Baltic,700,1
